team_id,team_name,rank,total_wins,total_losses,adj_win_perc,str_of_sched,rpi
6373b18c-62f6-49bc-bd4c-8959a2466516,Trojans,236,10,18,0.3485,0.5015,0.4633
6776c7e6-f4c2-47bd-99e5-39fc179a3197,Tigers,237,14,15,0.528,0.4415,0.4631
a311188e-1259-4fda-b0ea-c47cb52694b1,Panthers,238,14,15,0.4962,0.449,0.4608
c54279f9-3028-4663-893a-7d22482f8098,Seahawks,239,9,23,0.2733,0.523,0.4605
c7116621-45ed-4ab1-9ad9-dee524120569,Thunderbirds,239,12,15,0.4771,0.455,0.4605
79965018-7f6f-4273-9eef-65c99b592b01,Vikings,241,13,15,0.4474,0.4645,0.4602
f2d01b77-0f5d-4574-9e49-2a3eaf822e44,Dragons,242,12,19,0.365,0.4914,0.4598
90ec10eb-38a4-4a69-b072-ef71d294933b,Jaguars,243,14,16,0.4754,0.4543,0.4596
82c12e8d-7c6c-47d8-b100-3cbc190d268e,Blackbirds,244,15,16,0.5102,0.4413,0.4585
de9a0e19-b83c-4b98-a6da-81c110cb364b,Terriers,245,14,18,0.4625,0.4567,0.4582
3556d445-b3f1-467e-b150-952b32dfb150,Pioneers,246,14,17,0.48,0.4499,0.4574
4927ef8b-e680-4fb8-b10e-2ea3eff32eab,River Hawks,246,13,17,0.4701,0.4532,0.4574
820c8f26-cf11-4997-b2e2-19f47bd2f72f,Kangaroos,246,10,20,0.3387,0.497,0.4574
6a67ba19-56a8-4dd8-a5ae-9e9f2523c274,Bengals,249,9,18,0.3643,0.4878,0.4569
e48e3dd5-721c-4d96-8ff4-790fe2597bfd,Colonels,250,11,18,0.376,0.4836,0.4567
ad9a3e21-4585-4e35-8946-290fe4a16f18,Explorers,251,10,20,0.3108,0.5052,0.4566
aacdc78d-b7fa-48f6-9686-2fdb8a95030e,Golden Bears,252,8,22,0.2059,0.5392,0.4558
412e7f0d-fb93-4e6e-be1f-9a4c7490d121,Bulldogs,253,9,18,0.3386,0.4948,0.4557
88104678-e53b-43b3-82f7-efb3a11cedb9,Minutemen,253,11,20,0.2932,0.5098,0.4557
df3da9d7-2d2b-44e2-99e2-08c4945a203b,Crusaders,255,13,18,0.4172,0.4677,0.4551
6a8d2a24-2128-47a0-913f-3d29e9d6592c,Bobcats,256,16,14,0.5316,0.4294,0.455
161354af-1f3e-4d58-88f7-e016ec74b7b6,Pirates,257,12,16,0.4576,0.4534,0.4545
6dfaf0ba-47c4-4e05-b0a7-72734747d48f,Black Knights,258,12,19,0.384,0.4777,0.4543
