 


  
  

NCAA Men's Basketball
Division IScoring Offense
Through Games 03/08/2019


"Rank","Name","GM","W-L","PTS","PPG"
"307","Fairfield","31","9-22","2072","66.8"
"308","Valparaiso","33","15-18","2205","66.8"
"309","Pacific","32","14-18","2138","66.8"
"310","Tulane","29","4-25","1935","66.7"
"311","Fordham","30","12-18","2001","66.7"
"312","A&M-Corpus Christi","30","13-17","1997","66.6"
"313","St. Bonaventure","30","15-15","1995","66.5"
"314","Incarnate Word","30","6-24","1992","66.4"
"315","Navy","30","12-18","1991","66.4"
"316","Northwestern St.","30","11-19","1988","66.3"
"317","Loyola Chicago","32","20-12","2119","66.2"
"318","Northwestern","30","13-17","1982","66.1"
"319","Cal Poly","28","6-22","1848","66.0"
"320","Kansas St.","30","23-7","1975","65.8"
"321","Wagner","30","13-17","1974","65.8"
"322","UC Riverside","31","9-22","2038","65.7"
"323","San Jose St.","29","4-25","1905","65.7"
"324","UNI","32","15-17","2101","65.7"
"325","Ark.-Pine Bluff","30","12-18","1965","65.5"
"326","UC Davis","29","11-18","1897","65.4"
"327","Binghamton","31","9-22","2023","65.3"
"328","Georgia Tech","31","14-17","2020","65.2"
"329","Wyoming","30","7-23","1949","65.0"
"330","Portland","32","7-25","2078","64.9"
"331","UTEP","28","8-20","1812","64.7"
"332","Mississippi Val.","31","6-25","2001","64.5"
"333","Alcorn","29","10-19","1865","64.3"
"334","Monmouth","32","12-20","2055","64.2"
"335","Siena","31","16-15","1987","64.1"
"336","Southern U.","30","6-24","1920","64.0"
"337","George Washington","30","8-22","1907","63.6"
"338","Kennesaw St.","32","6-26","2030","63.4"
"339","Coppin St.","31","7-24","1958","63.2"
"340","Delaware St.","29","5-24","1828","63.0"
"341","Saint Peter's","32","10-22","2012","62.9"
"342","Maine","31","5-26","1931","62.3"
"343","Florida A&M","31","12-19","1927","62.2"
"344","Chicago St.","30","3-27","1860","62.0"
"345","Jackson St.","30","12-18","1843","61.4"
"346","Alabama A&M","31","5-26","1880","60.6"
"347","Charlotte","28","7-21","1698","60.6"
"348","New Hampshire","29","5-24","1742","60.1"
"349","UNC Asheville","31","4-27","1857","59.9"
"350","UMES","31","7-24","1779","57.4"
"351","Manhattan","32","11-21","1833","57.3"
Reclassifying
"NR","California Baptist","29","16-13","2285","78.8"
"NR","North Ala.","32","10-22","2145","67.0"


      <script type="text/javascript">
var gaJsHost = (("https:" == document.location.protocol) ? "https://ssl." : "http://www.");document.write(unescape("%3Cscript src='" + gaJsHost + "google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E"));
</script>
<script type="text/javascript">
try {
var pageTracker = _gat._getTracker("UA-2045383-4");                        
pageTracker._trackPageview();                                              
} catch(err) {}
</script>

      
